ano_censo,dependencia_administrativa,localizacao,situacao_funcionamento,escolas,qt_mat_bas,qt_doc_bas,qt_tur_bas,matriculas_por_escola
1998,Estadual,Urbana,Ativa,28608,0.0,0.0,0.0,0.0
1998,Estadual,Urbana,Extinto,653,0.0,0.0,0.0,0.0
1998,Estadual,Urbana,Paralisado,770,0.0,0.0,0.0,0.0
1998,Federal,Rural,Ativa,60,0.0,0.0,0.0,0.0
1998,Federal,Rural,Extinto,4,0.0,0.0,0.0,0.0
1998,Federal,Rural,Paralisado,9,0.0,0.0,0.0,0.0
1998,Federal,Urbana,Ativa,136,0.0,0.0,0.0,0.0
1998,Federal,Urbana,Extinto,5,0.0,0.0,0.0,0.0
1998,Federal,Urbana,Paralisado,14,0.0,0.0,0.0,0.0
1998,Municipal,Rural,Ativa,114061,0.0,0.0,0.0,0.0
1998,Municipal,Rural,Extinto,10148,0.0,0.0,0.0,0.0
1998,Municipal,Rural,Paralisado,28496,0.0,0.0,0.0,0.0
1998,Municipal,Urbana,Ativa,35440,0.0,0.0,0.0,0.0
1998,Municipal,Urbana,Extinto,1694,0.0,0.0,0.0,0.0
1998,Municipal,Urbana,Paralisado,3053,0.0,0.0,0.0,0.0
1998,Privada,Rural,Ativa,781,0.0,0.0,0.0,0.0
1998,Privada,Rural,Extinto,111,0.0,0.0,0.0,0.0
1998,Privada,Rural,Paralisado,235,0.0,0.0,0.0,0.0
1998,Privada,Urbana,Ativa,25677,0.0,0.0,0.0,0.0
1998,Privada,Urbana,Extinto,1217,0.0,0.0,0.0,0.0
1998,Privada,Urbana,Paralisado,2335,0.0,0.0,0.0,0.0
1999,Estadual,Rural,Ativa,9392,0.0,0.0,0.0,0.0
1999,Estadual,Rural,Extinto,1289,0.0,0.0,0.0,0.0
1999,Estadual,Rural,Paralisado,1655,0.0,0.0,0.0,0.0
1999,Estadual,Urbana,Ativa,28396,0.0,0.0,0.0,0.0
1999,Estadual,Urbana,Extinto,716,0.0,0.0,0.0,0.0
1999,Estadual,Urbana,Paralisado,576,0.0,0.0,0.0,0.0
1999,Federal,Rural,Ativa,54,0.0,0.0,0.0,0.0
1999,Federal,Rural,Extinto,1,0.0,0.0,0.0,0.0
1999,Federal,Rural,Paralisado,8,0.0,0.0,0.0,0.0
1999,Federal,Urbana,Ativa,135,0.0,0.0,0.0,0.0
1999,Federal,Urbana,Extinto,3,0.0,0.0,0.0,0.0
1999,Federal,Urbana,Paralisado,18,0.0,0.0,0.0,0.0
1999,Municipal,Rural,Ativa,109550,0.0,0.0,0.0,0.0
1999,Municipal,Rural,Extinto,8218,0.0,0.0,0.0,0.0
1999,Municipal,Rural,Paralisado,28645,0.0,0.0,0.0,0.0
1999,Municipal,Urbana,Ativa,40284,0.0,0.0,0.0,0.0
1999,Municipal,Urbana,Extinto,1514,0.0,0.0,0.0,0.0
1999,Municipal,Urbana,Paralisado,2693,0.0,0.0,0.0,0.0
1999,Privada,Rural,Ativa,795,0.0,0.0,0.0,0.0
1999,Privada,Rural,Extinto,128,0.0,0.0,0.0,0.0
1999,Privada,Rural,Paralisado,149,0.0,0.0,0.0,0.0
1999,Privada,Urbana,Ativa,28756,0.0,0.0,0.0,0.0
1999,Privada,Urbana,Extinto,1637,0.0,0.0,0.0,0.0
1999,Privada,Urbana,Paralisado,2033,0.0,0.0,0.0,0.0
2000,Estadual,Rural,Ativa,8818,0.0,0.0,0.0,0.0
2000,Estadual,Rural,Extinto,581,0.0,0.0,0.0,0.0
2000,Estadual,Rural,Paralisado,1322,0.0,0.0,0.0,0.0
2000,Estadual,Urbana,Ativa,28330,0.0,0.0,0.0,0.0
2000,Estadual,Urbana,Extinto,274,0.0,0.0,0.0,0.0
2000,Estadual,Urbana,Paralisado,628,0.0,0.0,0.0,0.0
2000,Federal,Rural,Ativa,62,0.0,0.0,0.0,0.0
2000,Federal,Rural,Paralisado,8,0.0,0.0,0.0,0.0
2000,Federal,Urbana,Ativa,136,0.0,0.0,0.0,0.0
2000,Federal,Urbana,Extinto,3,0.0,0.0,0.0,0.0
2000,Federal,Urbana,Paralisado,15,0.0,0.0,0.0,0.0
2000,Municipal,Rural,Ativa,107553,0.0,0.0,0.0,0.0
2000,Municipal,Rural,Extinto,6461,0.0,0.0,0.0,0.0
2000,Municipal,Rural,Paralisado,28009,0.0,0.0,0.0,0.0
2000,Municipal,Urbana,Ativa,42151,0.0,0.0,0.0,0.0
2000,Municipal,Urbana,Extinto,926,0.0,0.0,0.0,0.0
2000,Municipal,Urbana,Paralisado,2477,0.0,0.0,0.0,0.0
2000,Privada,Rural,Ativa,731,0.0,0.0,0.0,0.0
2000,Privada,Rural,Extinto,61,0.0,0.0,0.0,0.0
2000,Privada,Rural,Paralisado,141,0.0,0.0,0.0,0.0
2000,Privada,Urbana,Ativa,29631,0.0,0.0,0.0,0.0
2000,Privada,Urbana,Extinto,1303,0.0,0.0,0.0,0.0
2000,Privada,Urbana,Paralisado,2367,0.0,0.0,0.0,0.0
2001,Estadual,Rural,Ativa,8384,0.0,0.0,0.0,0.0
2001,Estadual,Rural,Extinto,713,0.0,0.0,0.0,0.0
2001,Estadual,Rural,Paralisado,1162,0.0,0.0,0.0,0.0
2001,Estadual,Urbana,Ativa,28104,0.0,0.0,0.0,0.0
2001,Estadual,Urbana,Extinto,437,0.0,0.0,0.0,0.0
2001,Estadual,Urbana,Paralisado,529,0.0,0.0,0.0,0.0
2001,Federal,Rural,Ativa,52,0.0,0.0,0.0,0.0
2001,Federal,Rural,Extinto,5,0.0,0.0,0.0,0.0
2001,Federal,Rural,Paralisado,14,0.0,0.0,0.0,0.0
2001,Federal,Urbana,Ativa,152,0.0,0.0,0.0,0.0
2001,Federal,Urbana,Extinto,11,0.0,0.0,0.0,0.0
2001,Federal,Urbana,Paralisado,4,0.0,0.0,0.0,0.0
2001,Municipal,Rural,Ativa,104137,0.0,0.0,0.0,0.0
2001,Municipal,Rural,Extinto,12488,0.0,0.0,0.0,0.0
2001,Municipal,Rural,Paralisado,22933,0.0,0.0,0.0,0.0
2001,Municipal,Urbana,Ativa,43975,0.0,0.0,0.0,0.0
2001,Municipal,Urbana,Extinto,1208,0.0,0.0,0.0,0.0
2001,Municipal,Urbana,Paralisado,2231,0.0,0.0,0.0,0.0
2001,Privada,Rural,Ativa,909,0.0,0.0,0.0,0.0
2001,Privada,Rural,Extinto,103,0.0,0.0,0.0,0.0
2001,Privada,Rural,Paralisado,101,0.0,0.0,0.0,0.0
2001,Privada,Urbana,Ativa,32670,0.0,0.0,0.0,0.0
2001,Privada,Urbana,Extinto,1592,0.0,0.0,0.0,0.0
